fips,county,mean2019To2022,count_extremeHeatDays,year
27001,Aitkin,76.5,9,2022
27003,Anoka,79.8,10,2022
27005,Becker,77.1,8,2022
27007,Beltrami,76.1,9,2022
27009,Benton,78.9,9,2022
27011,Big Stone,81.8,9,2022
27013,Blue Earth,82,10,2022
27015,Brown,82.4,11,2022
27017,Carlton,75.7,7,2022
27019,Carver,80.7,11,2022
27021,Cass,76.8,9,2022
27023,Chippewa,82,10,2022
27025,Chisago,79.2,10,2022
27027,Clay,80.4,10,2022
27029,Clearwater,76,9,2022
27031,Cook,63.5,5,2022
27033,Cottonwood,80.8,12,2022
27035,Crow Wing,77.2,10,2022
27037,Dakota,80.7,10,2022
27039,Dodge,78.8,9,2022
27041,Douglas,78.1,9,2022
27043,Faribault,81.6,10,2022
27045,Fillmore,79.1,11,2022
27047,Freeborn,80.1,10,2022
27049,Goodhue,80,9,2022
27051,Grant,80.3,8,2022
27053,Hennepin,80.3,10,2022
27055,Houston,79.9,10,2022
27057,Hubbard,76.2,11,2022
27059,Isanti,79.2,10,2022
27061,Itasca,75.6,10,2022
27063,Jackson,81,11,2022
27065,Kanabec,77.8,7,2022
27067,Kandiyohi,79.9,10,2022
27069,Kittson,77.4,8,2022
27071,Koochiching,74.8,7,2022
27073,Lac qui Parle,82,11,2022
27075,Lake,72.1,8,2022
27077,Lake of the Woods,73.5,8,2022
27079,Le Sueur,81.4,11,2022
27081,Lincoln,80,13,2022
27083,Lyon,81.7,13,2022
27085,McLeod,80.4,9,2022
27087,Mahnomen,77,7,2022
27089,Marshall,77.1,10,2022
27091,Martin,82,11,2022
27093,Meeker,80,10,2022
27095,Mille Lacs,78.3,8,2022
27097,Morrison,78,8,2022
27099,Mower,79.4,10,2022
27101,Murray,80,11,2022
27103,Nicollet,82,10,2022
27105,Nobles,80.6,12,2022
27107,Norman,79.7,9,2022
27109,Olmsted,79.7,11,2022
27111,Otter Tail,78.4,8,2022
27113,Pennington,76.9,7,2022
27115,Pine,77.7,8,2022
27117,Pipestone,80.6,12,2022
27119,Polk,78.5,7,2022
27121,Pope,79,9,2022
27123,Ramsey,80,10,2022
27125,Red Lake,77.7,7,2022
27127,Redwood,82.1,13,2022
27129,Renville,81,11,2022
27131,Rice,79.9,10,2022
27133,Rock,81.5,12,2022
27135,Roseau,75.1,7,2022
27137,St. Louis,74.6,10,2022
27139,Scott,80.6,10,2022
27141,Sherburne,79.4,9,2022
27143,Sibley,81.3,9,2022
27145,Stearns,78.9,9,2022
27147,Steele,79.5,9,2022
27149,Stevens,80.6,10,2022
27151,Swift,80.9,10,2022
27153,Todd,77.8,10,2022
27155,Traverse,81.1,10,2022
27157,Wabasha,79.5,11,2022
27159,Wadena,77,10,2022
27161,Waseca,80.5,10,2022
27163,Washington,79.9,10,2022
27165,Watonwan,81.9,10,2022
27167,Wilkin,81,10,2022
27169,Winona,79.4,11,2022
27171,Wright,80.1,10,2022
27173,Yellow Medicine,81.6,12,2022
