fips,location,count_WIC2015To2019ObOv,total_WIC2015To2019kids,percent_WIC2015To2019ObOv
27001,Aitkin,15,121,12.4
27003,Anoka,297,2576,11.5
27005,Becker,72,519,13.9
27007,Beltrami,235,912,25.8
27009,Benton,43,410,10.5
27011,Big Stone,8,68,11.8
27013,Blue Earth,64,536,11.9
27015,Brown,51,266,19.2
27017,Carlton,48,347,13.8
27019,Carver,22,348,6.3
27021,Cass,89,445,20
27023,Chippewa,33,209,15.8
27025,Chisago,42,347,12.1
27027,Clay,100,752,13.3
27029,Clearwater,24,134,17.9
27031,Cook,11,72,15.3
27033,Cottonwood,22,169,13
27035,Crow Wing,87,645,13.5
27037,Dakota,329,2844,11.6
27039,Dodge,26,168,15.5
27041,Douglas,33,310,10.6
27043,Faribault,20,155,12.9
27045,Fillmore,27,183,14.8
27047,Freeborn,83,381,21.8
27049,Goodhue,42,304,13.8
27051,Grant,8,73,11
27053,Hennepin,1,236,10234,12.1
27055,Houston,9,127,7.1
27057,Hubbard,29,267,10.9
27059,Isanti,46,376,12.2
27061,Itasca,50,456,11
27063,Jackson,17,90,18.9
27065,Kanabec,19,192,9.9
27067,Kandiyohi,152,825,18.4
27069,Kittson,7,43,16.3
27071,Koochiching,6,66,9.1
27073,Lac qui Parle,9,44,20.5
27075,Lake,17,108,15.7
27077,Lake of the Woods,6,35,17.1
27079,Le Sueur,30,228,13.2
27081,Lincoln,8,53,15.1
27083,Lyon,66,524,12.6
27085,McLeod,55,360,15.3
27087,Mahnomen,60,194,30.9
27089,Marshall,14,118,11.9
27091,Martin,50,241,20.7
27093,Meeker,25,258,9.7
27095,Mille Lacs,55,395,13.9
27097,Morrison,28,312,9
27099,Mower,90,620,14.5
27101,Murray,13,84,15.5
27103,Nicollet,30,276,10.9
27105,Nobles,104,557,18.7
27107,Norman,7,85,8.2
27109,Olmsted,209,1577,13.3
27111,Otter Tail,82,621,13.2
27113,Pennington,22,181,12.2
27115,Pine,52,327,15.9
27117,Pipestone,19,149,12.8
27119,Polk,51,432,11.8
27121,Pope,7,112,6.3
27123,Ramsey,1,111,8265,13.4
27125,Red Lake,14,58,24.1
27127,Redwood,14,206,6.8
27129,Renville,30,226,13.3
27131,Rice,97,712,13.6
27133,Rock,10,88,11.4
27135,Roseau,29,210,13.8
27137,St. Louis,153,1361,11.2
27139,Scott,99,945,10.5
27141,Sherburne,92,692,13.3
27143,Sibley,12,134,9
27145,Stearns,247,1961,12.6
27147,Steele,65,420,15.5
27149,Stevens,17,108,15.7
27151,Swift,19,135,14.1
27153,Todd,42,315,13.3
27155,Traverse,7,42,16.7
27157,Wabasha,18,138,13
27159,Wadena,22,174,12.6
27161,Waseca,20,188,10.6
27163,Washington,151,1200,12.6
27165,Watonwan,26,188,13.8
27167,Wilkin,11,67,16.4
27169,Winona,46,278,16.5
27171,Wright,76,859,8.8
27173,Yellow Medicine,25,124,20.2
